drg_comb,drg_text_comb,drg_text_short_comb,mdc,nat_ver
G33T,"Doctor visits for malignancy of hepatobiliary system or pancreas, w/o CC, primary care","Doctor visits for malignancy of hepatobiliary system or pancreas, w/o CC, primary care",7.0,swe
G35R,"Doctor visits for diseases of pancreas except malignancy, primary care","Doctor visits for diseases of pancreas except malignancy, primary care",7.0,swe
G38R,"Doctor visits for diseases of liver except malignancy, cirrhosis and alcohol hepatitis, primary care","Doctor visits for diseases of liver except malignancy, cirrhosis and alcohol hepatitis, primary care",7.0,swe
G69L,"Inpatient care for diseases of the liver, bile ducts and pancreas, primary care","Inpatient care for diseases of the liver, bile ducts and pancreas, primary care",7.0,swe
G93R,"Home visits for diseases of the liver, bile ducts and pancreas, primary care","Home visits for diseases of the liver, bile ducts and pancreas, primary care",7.0,swe
G97R,"Nurse visits for diseases of the liver, bile ducts and pancreas, primary care","Nurse visits for diseases of the liver, bile ducts and pancreas, primary care",7.0,swe
G99R,"Other doctor visits for diseases of the liver, bile ducts and pancreas, primary care","Other doctor visits for diseases of the liver, bile ducts and pancreas, primary care",7.0,swe
G99U,"Team visits/conferences for diseases of the liver, bile ducts and pancreas, primary care","Team visits/conferences for diseases of the liver, bile ducts and pancreas, primary care",7.0,swe
G99W,"Doctor letters or telephone conctact for diseases of the liver, bile ducts and pancreas, primary care","Doctor letters or telephone conctact for diseases of the liver, bile ducts and pancreas, primary care",7.0,swe
H50R,"Doctor visits for fractures of femur, primary care","Doctor visits for fractures of femur, primary care",8.0,swe
H51S,"Doctor visits for fractures of hip and pelvis, w CC, primary care","Doctor visits for fractures of hip and pelvis, w CC, primary care",8.0,swe
H51T,"Doctor visits for fractures of hip and pelvis, w/o CC, primary care","Doctor visits for fractures of hip and pelvis, w/o CC, primary care",8.0,swe
H52S,"Doctor visits for sprains, strains, & dislocations of hip, pelvis & thigh, w CC, primary care","Doctor visits for sprains, strains, & dislocations of hip, pelvis & thigh, w CC, primary care",8.0,swe
H52T,"Doctor visits for sprains, strains, & dislocations of hip, pelvis & thigh, w/o CC, primary care","Doctor visits for sprains, strains, & dislocations of hip, pelvis & thigh, w/o CC, primary care",8.0,swe
H53S,"Doctor visits for osteomyelitis, w CC, primary care","Doctor visits for osteomyelitis, w CC, primary care",8.0,swe
H53T,"Doctor visits for osteomyelitis, w/o CC, primary care","Doctor visits for osteomyelitis, w/o CC, primary care",8.0,swe
H54S,"Doctor visits for pathological fractures & musculoskeletal & connective tissue malignancies , w CC, primary care","Doctor visits for pathological fractures & musculoskeletal & connective tissue malignancies , w CC, primary care",8.0,swe
H54T,"Doctor visits for pathological fractures & musculoskeletal & connective tissue malignancies. w/o CC, primary care","Doctor visits for pathological fractures & musculoskeletal & connective tissue malignancies. w/o CC, primary care",8.0,swe
H55S,"Connective tissue disorders or vasculitis, w CC, primary care","Connective tissue disorders or vasculitis, w CC, primary care",8.0,swe
H55T,"Connective tissue disorders or vasculitis, w/o CC, primary care","Connective tissue disorders or vasculitis, w/o CC, primary care",8.0,swe
H56S,"Doctor visits for infectious arthritis or bursitis, w CC, primary care","Doctor visits for infectious arthritis or bursitis, w CC, primary care",8.0,swe
H56T,"Doctor visits for infectious arthritis or bursitis, w/o CC, primary care","Doctor visits for infectious arthritis or bursitis, w/o CC, primary care",8.0,swe
H57S,"Doctor visits for specific inflammatory arthropathy,  w CC, primary care","Doctor visits for specific inflammatory arthropathy,  w CC, primary care",8.0,swe
H57T,"Doctor visits for specific inflammatory arthropathy, w/o CC, primary care","Doctor visits for specific inflammatory arthropathy, w/o CC, primary care",8.0,swe
H58S,"Doctor visits for other arthritis,  w CC, primary care","Doctor visits for other arthritis,  w CC, primary care",8.0,swe
H58T,"Doctor visits for other arthritis, w/o CC, primary care","Doctor visits for other arthritis, w/o CC, primary care",8.0,swe
H59S,"Doctor visits for arthrosis, w CC, primary care","Doctor visits for arthrosis, w CC, primary care",8.0,swe
H59T,"Doctor visits for arthrosis, w/o CC, primary care","Doctor visits for arthrosis, w/o CC, primary care",8.0,swe
H60S,"Doctor visits for medical back problems, w CC, primary care","Doctor visits for medical back problems, w CC, primary care",8.0,swe
H60T,"Doctor visits for medical back problems, w/o CC, primary care","Doctor visits for medical back problems, w/o CC, primary care",8.0,swe
H61S,"Doctor visits for bone diseases & specific arthropathies, w CC, primary care","Doctor visits for bone diseases & specific arthropathies, w CC, primary care",8.0,swe
H61T,"Doctor visits for bone diseases & specific arthropathies, w/o CC, primary care","Doctor visits for bone diseases & specific arthropathies, w/o CC, primary care",8.0,swe
H62R,"Doctor visits for signs & symptoms of musculoskeletal system & connective tissue, primary care","Doctor visits for signs & symptoms of musculoskeletal system & connective tissue, primary care",8.0,swe
H63S,"Doctor visits for tendonitis, myositis and bursitis, w CC, primary care","Doctor visits for tendonitis, myositis and bursitis, w CC, primary care",8.0,swe
H63T,"Doctor visits for tendonitis, myositis and bursitis, w/o CC, primary care","Doctor visits for tendonitis, myositis and bursitis, w/o CC, primary care",8.0,swe
H64S,"Doctor visits for aftercare of musculoskeletal system & connective tissue diseases, w CC, primary care","Doctor visits for aftercare of musculoskeletal system & connective tissue diseases, w CC, primary care",8.0,swe
H64T,"Doctor visits for aftercare of musculoskeletal system & connective tissue diseases, w/o CC, primary care","Doctor visits for aftercare of musculoskeletal system & connective tissue diseases, w/o CC, primary care",8.0,swe
H65S,"Doctor visits for fracture, sprain, strain or dislocation of forearm, hand or foot, w CC, primary care","Doctor visits for fracture, sprain, strain or dislocation of forearm, hand or foot, w CC, primary care",8.0,swe
H65T,"Doctor visits for fracture, sprain, strain or dislocation of forearm, hand or foot, w/o CC, primary care","Doctor visits for fracture, sprain, strain or dislocation of forearm, hand or foot, w/o CC, primary care",8.0,swe
H66S,"Doctor visits for fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age > 17, w CC, primary care","Doctor visits for fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age > 17, w CC, primary care",8.0,swe
H66T,"Doctor visits for fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age > 17,w/o CC, primary care","Doctor visits for fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age > 17,w/o CC, primary care",8.0,swe
H67S,"Doctor visits for fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age 0-17, w CC, primary care","Doctor visits for fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age 0-17, w CC, primary care",8.0,swe
H67T,"Doctor visits for fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age 0-17, w/o CC, primary care","Doctor visits for fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age 0-17, w/o CC, primary care",8.0,swe
H68L,"Inpatient care for osteoporotic or traumatic fractures, primary care","Inpatient care osteoporotic/trauma fractures, primary care",0.0,swe
H69L,"Inpatient care for musculoskeletal system & connective tissue diseases, primary care","Inpatient care for musculoskeletal system & connective tissue diseases, primary care",8.0,swe
H75R,"Closed intervention on joint or reposition of fracture, primary care","Closed intervention on joint or reposition of fracture, primary care",8.0,swe
H80R,"Intraarticular medication, primary care","Intraarticular medication, primary care",8.0,swe
H81R,"Orthopedic bandage of extremity with custom molded cast, primary care","Orthopedic bandage of extremity with custom molded cast, primary care",8.0,swe
H83R,"Orthopedic bandage with custom molded splint, primary care","Orthopedic bandage with custom molded splint, primary care",8.0,swe
H87R,"Other orthopedic bandage, no plaster cast, primary care","Other orthopedic bandage, no plaster cast, primary care",8.0,swe
H88R,"Orthosis of other joint, primary care","Orthosis of other joint, primary care",8.0,swe
H89R,"Intravascular drug administration for diseases of muscles, bones and connective tissue, primary care","Intravascular drug administration for diseases of muscles, bones and connective tissue, primary care",8.0,swe
H93R,"Home visits for diseases of muscles, bones and connective tissue, primary care","Home visits for diseases of muscles, bones and connective tissue, primary care",8.0,swe
H97R,"Nurse visits for diseases of muscles, bones and connective tissue, primary care","Nurse visits for diseases of muscles, bones and connective tissue, primary care",8.0,swe
H99R,"Other doctor visits for diseases of muscles, bones and connective tissue, primary care","Other doctor visits for diseases of muscles, bones and connective tissue, primary care",8.0,swe
H99U,"Team visits/conferences for diseases of muscles, bones and connective tissue, primary care","Team visits/conferences for diseases of muscles, bones and connective tissue, primary care",8.0,swe
H99W,"Doctor letters or telephone contacts for diseases of muscles, bones and connective tissue, primary care","Doctor letters or telephone contacts for diseases of muscles, bones and connective tissue, primary care",8.0,swe
J40S,"Doctor visits for chronic skin ulcers, w CC, primary care","Doctor visits for chronic skin ulcers, w CC, primary care",9.0,swe
J40T,"Doctor visits for chronic skin ulcers, w/o CC, primary care","Doctor visits for chronic skin ulcers, w/o CC, primary care",9.0,swe
J45S,"Doctor visits for major skin diseases including malignant melanoma, w CC, primary care","Doctor visits for major skin diseases including malignant melanoma, w CC, primary care",9.0,swe
J45T,"Doctor visits for major skin diseases including malignant melanoma, w/o CC, primary care","Doctor visits for major skin diseases including malignant melanoma, w/o CC, primary care",9.0,swe
J50S,"Doctor visits for cellulitis, w CC, primary care","Doctor visits for cellulitis, w CC, primary care",9.0,swe
J50T,"Doctor visits for cellulitis, w/o CC, primary care","Doctor visits for cellulitis, w/o CC, primary care",9.0,swe
J55S,"Doctor visits for trauma to the skin and subcutaneous tissue, age >17, w CC, primary care","Doctor visits for trauma to the skin and subcutaneous tissue, age >17, w CC, primary care",9.0,swe
J55T,"Doctor visits for trauma to the skin and subcutaneous tissue, age >17, w/o CC, primary care","Doctor visits for trauma to the skin and subcutaneous tissue, age >17, w/o CC, primary care",9.0,swe
J56S,"Doctor visits for trauma to the skin and subcutaneous tissue, age  0-17, w CC, primary care","Doctor visits for trauma to the skin and subcutaneous tissue, age  0-17, w CC, primary care",9.0,swe
J56T,"Doctor visits for trauma to the skin and subcutaneous tissue, age  0-17, w/o CC, primary care","Doctor visits for trauma to the skin and subcutaneous tissue, age  0-17, w/o CC, primary care",9.0,swe
J69L,"Inpatient care for skin and subcutaneous tissue diseases, primary care","Inpatient care for skin and subcutaneous tissue diseases, primary care",9.0,swe
J79R,"Other minor dermatological intervention, primary care","Other minor dermatological intervention, primary care",9.0,swe
J80R,"Medical bath therapy and lubrication of skin, primary care","Medical bath therapy and lubrication of skin, primary care",9.0,swe
J81R,"Dressing of wound of skin, primary care","Dressing of wound of skin, primary care",9.0,swe
J93R,"Home visits for diseases of the skin and subcutaneous tissue, primary care","Home visits for diseases of the skin and subcutaneous tissue, primary care",9.0,swe
J97R,"Nurse visits for diseases of the skin and subcutaneous tissue, primary care","Nurse visits for diseases of the skin and subcutaneous tissue, primary care",9.0,swe
J99R,"Other doctor visits for diseases of the skin and subcutaneous tissue, primary care","Other doctor visits for diseases of the skin and subcutaneous tissue, primary care",9.0,swe
J99U,"Team visits/conferences for diseases of the skin and subcutaneous tissue, primary care","Team visits/conferences for diseases of the skin and subcutaneous tissue, primary care",9.0,swe
J99W,"Doctor letters or telephone contacts for diseases of the skin and subcutaneous tissue, primary care","Doctor letters or telephone contacts for diseases of the skin and subcutaneous tissue, primary care",9.0,swe
K20S,"Doctor visits for malignant breast diseases, w CC, primary care","Doctor visits for malignant breast diseases, w CC, primary care",30.0,swe
K20T,"Doctor visits for malignant breast diseases, w/o CC, primary care","Doctor visits for malignant breast diseases, w/o CC, primary care",30.0,swe
K69L,"Inpatient care for mammary gland diseases, primary care","Inpatient care for mammary gland diseases, primary care",30.0,swe
K89R,"Intravascular drug administration for mammary gland diseases, primary care","Intravascular drug administration for mammary gland diseases, primary care",30.0,swe
K93R,"Home visits for mammary gland diseases, primary care","Home visits for mammary gland diseases, primary care",30.0,swe
K97R,"Nurse visits for mammary gland diseases, primary care","Nurse visits for mammary gland diseases, primary care",30.0,swe
K99R,"Other doctor visits for mammary gland diseases, primary care","Other doctor visits for mammary gland diseases, primary care",30.0,swe
K99U,"Team visits/conferences for mammary gland diseases, primary care","Team visits/conferences for mammary gland diseases, primary care",30.0,swe
K99W,"Doctor letters or telephone contacts for mammary gland diseases, primary care","Doctor letters or telephone contacts for mammary gland diseases, primary care",30.0,swe
L41S,"Doctor visits for diabetes, age > 17, w CC, primary care","Doctor visits for diabetes, age > 17, w CC, primary care",10.0,swe
L41T,"Doctor visits for diabetes, age > 17, w/o CC,  primary care","Doctor visits for diabetes, age > 17, w/o CC,  primary care",10.0,swe
L42S,"Doctor visits for diabetes, age 0-17, w CC, primary care","Doctor visits for diabetes, age 0-17, w CC, primary care",10.0,swe
L42T,"Doctor visits for diabetes, age 0-17, w/o CC, primary care","Doctor visits for diabetes, age 0-17, w/o CC, primary care",10.0,swe
L50S,"Doctor visits for nutritional & miscellaneous metabolic disorders, w CC, primary care","Doctor visits for nutritional & miscellaneous metabolic disorders, w CC, primary care",10.0,swe
L50T,"Doctor visits for nutritional & miscellaneous metabolic disorders, w/o CC, primary care","Doctor visits for nutritional & miscellaneous metabolic disorders, w/o CC, primary care",10.0,swe
L55S,"Doctor visits for inborn errors of metabolism, w CC, primary care","Doctor visits for inborn errors of metabolism, w CC, primary care",10.0,swe
L55T,"Doctor visits for inborn errors of metabolism, w/o CC, primary care","Doctor visits for inborn errors of metabolism, w/o CC, primary care",10.0,swe
L69L,"Inpatient care for endocrine diseases, primary care","Inpatient care for endocrine diseases, primary care",10.0,swe
L78R,"Metabolic examinations, primary care","Metabolic examinations, primary care",10.0,swe
L81R,"Nutritional interventions, primary care","Nutritional interventions, primary care",10.0,swe
L93R,"Home visits for endocrine diseases, primary care","Home visits for endocrine diseases, primary care",10.0,swe
L97R,"Nurse visits for endocrine and metabolic diseases, primary care","Nurse visits for endocrine and metabolic diseases, primary care",10.0,swe
L99R,"Other doctor visits for endocrine and metabolic diseases, primary care","Other doctor visits for endocrine and metabolic diseases, primary care",10.0,swe
L99U,"Team visits/conferences for endocrine and metabolic diseases, primary care","Team visits/conferences for endocrine and metabolic diseases, primary care",10.0,swe
L99W,"Doctor letters or telephone contacts for endocrine and metabolic diseases, primary care","Doctor letters or telephone contacts for endocrine and metabolic diseases, primary care",10.0,swe
M31S,"Doctor visits for kidney failure, w CC, primary care","Doctor visits for kidney failure, w CC, primary care",11.0,swe
M31T,"Doctor visits for kidney failure, w/o CC, primary care","Doctor visits for kidney failure, w/o CC, primary care",11.0,swe
M32R,"Renal dialysis, including preparations, primary care","Renal dialysis, including preparations, primary care",11.0,swe
M35S,"Doctor visits for kidney & urinary tract neoplasms, w CC, primary care","Doctor visits for kidney & urinary tract neoplasms, w CC, primary care",11.0,swe
M35T,"Doctor visits for kidney & urinary tract neoplasms, w/o CC, primary care","Doctor visits for kidney & urinary tract neoplasms, w/o CC, primary care",11.0,swe
M40L,"Inpatient care for urinary tract infection, primary care","Inpatient care urinary tract infection, primary care",11.0,swe
M40S,"Doctor visits for kidney & urinary tract infections, w CC, primary care","Doctor visits for kidney & urinary tract infections, w CC, primary care",11.0,swe
M40T,"Doctor visits for kidney & urinary tract infections, w/o CC, primary care","Doctor visits for kidney & urinary tract infections, w/o CC, primary care",11.0,swe
M45S,"Doctor visits for urinary stones, w CC, primary care","Doctor visits for urinary stones, w CC, primary care",11.0,swe
M45T,"Doctor visits for urinary stones, w/o CC, primary care","Doctor visits for urinary stones, w/o CC, primary care",11.0,swe
M50S,"Doctor visits for kidney & urinary tract signs & symptoms, w CC, primary care","Doctor visits for kidney & urinary tract signs & symptoms, w CC, primary care",11.0,swe
M50T,"Doctor visits for kidney & urinary tract signs & symptoms, w/o CC, primary care","Doctor visits for kidney & urinary tract signs & symptoms, w/o CC, primary care",11.0,swe
M55R,"Doctor visits for urethral stricture, primary care","Doctor visits for urethral stricture, primary care",11.0,swe
M69L,"Inpatient care for kidney & urinary tract diseases, primary care","Inpatient care for kidney & urinary tract diseases, primary care",11.0,swe
M76R,"Physiological urinary tract investigations, primary care   ","Physiological urinary tract investigations, primary care   ",11.0,swe
M77R,"Major urogenital intervention, primary care","Major urogenital intervention, primary care",11.0,swe
M78R,"Minor urogenital interventions, primary care","Minor urogenital interventions, primary care",11.0,swe
M89R,"Intravascular drug administration for kidney & urinary tract diseases, primary care","Intravascular drug administration for kidney & urinary tract diseases, primary care",11.0,swe
M93R,"Home visits for kidney & urinary tract diseases, primary care","Home visits for kidney & urinary tract diseases, primary care",11.0,swe
M97R,"Nurse visits for diseases of the kidneys and urinary tract, primary care","Nurse visits for diseases of the kidneys and urinary tract, primary care",11.0,swe
M99R,"Home visits for kidney & urinary tract diseases, primary care","Home visits for kidney & urinary tract diseases, primary care",11.0,swe
M99U,"Team visits/conferences for kidney & urinary tract diseases, primary care","Team visits/conferences for kidney & urinary tract diseases, primary care",11.0,swe
M99W,"Doctor letters or telephone contacts for kidney & urinary tract diseases, primary care","Doctor letters or telephone contacts for kidney & urinary tract diseases, primary care",11.0,swe
N20R,"Circumcision, primary care","Circumcision, primary care",12.0,swe
N40S,"Doctor visits for malignancy in the male reproductive system, w CC, primary care","Doctor visits for malignancy in the male reproductive system, w CC, primary care",12.0,swe
N40T,"Doctor visits for malignancy in the male reproductive system, w/o CC, primary care","Doctor visits for malignancy in the male reproductive system, w/o CC, primary care",12.0,swe
N45R,"Doctor visits for benign prostatic hypertrophy, primary care","Doctor visits for benign prostatic hypertrophy, primary care",12.0,swe
N50S,"Doctor visits for inflammation of the male reproductive system, w CC, primary care","Doctor visits for inflammation of the male reproductive system, w CC, primary care",12.0,swe
N50T,"Doctor visits for inflammation of the male reproductive system, w/o CC, primary care","Doctor visits for inflammation of the male reproductive system, w/o CC, primary care",12.0,swe
N69L,"Inpatient care for male reproductive system diseases, primary care","Inpatient care for male reproductive system diseases, primary care",12.0,swe
N89R,"Intravascular drug administration for male reproductive system diseases, primary care","Intravascular drug administration for male reproductive system diseases, primary care",12.0,swe
N93R,"Home visits for for male reproductive system diseases, primary care","Home visits for for male reproductive system diseases, primary care",12.0,swe
N97R,"Nurse visits for male reproductive system diagnoses, primary care ","Nurse visits for male reproductive system diagnoses, primary care ",12.0,swe
N99R,"Doctor visits for male reproductive system diseases, primary care ","Doctor visits for male reproductive system diseases, primary care ",12.0,swe
N99U,"Team visits/conferences for male reproductive system diagnoses, primary care ","Team visits/conferences for male reproductive system diagnoses, primary care ",12.0,swe
N99W,"Doctor letters or telephone contacts for male reproductive system diagnoses, primary care ","Doctor letters or telephone contacts for male reproductive system diagnoses, primary care ",12.0,swe
O40S,"Doctor visits for malignancy in the area of ​​adnexa-vulva, w CC, primary care","Doctor visits for malignancy in the area of ​​adnexa-vulva, w CC, primary care",13.0,swe
O40T,"Doctor visits for malignancy in the area of ​​adnexa-vulva, w/o CC, primary care","Doctor visits for malignancy in the area of ​​adnexa-vulva, w/o CC, primary care",13.0,swe
O45S,"Doctor visits for infections in the area of ​​adnexa-vulva, w CC, primary care","Doctor visits for infections in the area of ​​adnexa-vulva, w CC, primary care",13.0,swe
O45T,"Doctor visits for infections in the area of ​​adnexa-vulva, w/o CC, primary care","Doctor visits for infections in the area of ​​adnexa-vulva, w/o CC, primary care",13.0,swe
O69L,"Inpatient care for menstrual & other female reproductive system disorders, primary care","Inpatient care for menstrual & other female reproductive system disorders, primary care",13.0,swe
O89R,"Intravascular administration of drugs for diseases in the area of ​​adnexa-vulva, primary care","Intravascular administration of drugs for diseases in the area of ​​adnexa-vulva, primary care",13.0,swe
O93R,"Home visits for diseases in the area of ​​adnexa-vulva, primary care","Home visits for diseases in the area of ​​adnexa-vulva, primary care",13.0,swe
O97R,"Nurse visits for diseases in the area of ​​adnexa-vulva, primary care","Nurse visits for diseases in the area of ​​adnexa-vulva, primary care",13.0,swe
O99R,"Other doctor visits for diseases in the area of ​​adnexa-vulva, primary care","Other doctor visits for diseases in the area of ​​adnexa-vulva, primary care",13.0,swe
O99U,"Team visits/conferences for diseases in the area of ​​adnexa-vulva, primary care","Team visits/conferences for diseases in the area of ​​adnexa-vulva, primary care",13.0,swe
O99W,"Doctor letters and telephone contacts for diseases in the area of ​​adnexa-vulva, primary care","Doctor letters and telephone contacts for diseases in the area of ​​adnexa-vulva, primary care",13.0,swe
P01,OR procedure due to gender-identity related contact,OR procedure due to gender-identity related contact,19.0,fin
P01O,"OR procedure due to gender-identity related contact, short therapy","OR procedure due to gender-identity related contact, short therapy",19.0,fin
P02,Neuromodulation,Neuromodulation,19.0,fin
P02O,"Neuromodulation, short therapy","Neuromodulation, short therapy",19.0,fin
P03,Bipolar disorders,Bipolar disorders,19.0,fin
P03O,"Bipolar disorders, short therapy","Bipolar disorders, short therapy",19.0,fin
P04A,"Anxiety disorders, age >=18","Anxiety disorders, age >=18",19.0,fin
P04B,"Anxiety disorders, age 0-17","Anxiety disorders, age 0-17",19.0,fin
P04O,"Anxiety disorders, short therapy","Anxiety disorders, short therapy",19.0,fin
P05,Disorders of personality,Disorders of personality,19.0,fin
P05O,"Disorders of personality, short therapy","Disorders of personality, short therapy",19.0,fin
P05S,"Vaginal delivery, w CC, primary care","Vaginal delivery, w CC, primary care",14.0,swe
P05T,"Vaginal delivery, w/o CC, primary care","Vaginal delivery, w/o CC, primary care",14.0,swe
P06,Schizophrenia,Schizophrenia,19.0,fin
P06O,"Schizophrenia, short therapy","Schizophrenia, short therapy",19.0,fin
P07C,"Alcohol and drug abuse, w CC","Alcohol and drug abuse, w CC",19.0,fin
P07N,"Alcohol and drug abuse, w/o CC","Alcohol and drug abuse, w/o CC",19.0,fin
P07O,"Alcohol and drug abuse, short therapy","Alcohol and drug abuse, short therapy",19.0,fin
P08,Mental retardation,Mental retardation,19.0,fin
P08O,"Mental retardation, short therapy","Mental retardation, short therapy",19.0,fin
P09,Neuropsychiatric disorders,Neuropsychiatric disorders,19.0,fin
P09O,"Neuropsychiatric disorders, short therapy","Neuropsychiatric disorders, short therapy",19.0,fin
P10C,"Alchohol addiction, w CC","Alchohol addiction, w CC",19.0,fin
P10N,"Alchohol addiction, w/o CC","Alchohol addiction, w/o CC",19.0,fin
P10O,"Alchohol addiction, short therapy","Alchohol addiction, short therapy",19.0,fin
P11,Psychatric examination and observation,Psychatric examination and observation,19.0,fin
P11O,"Psychatric examination and observation, short therapy","Psychatric examination and observation, short therapy",19.0,fin
P12,Delirium,Delirium,19.0,fin
P12O,"Delirium, short therapy","Delirium, short therapy",19.0,fin
P13,Dementia,Dementia,19.0,fin
P13O,"Dementia, short therapy","Dementia, short therapy",19.0,fin
P14A,"Depression, age >=18","Depression, age >=18",19.0,fin
P14B,"Depression, age 0-17","Depression, age 0-17",19.0,fin
P14O,"Depression, short therapy","Depression, short therapy",19.0,fin
P15,Other addiction,Other addiction,19.0,fin
P15O,"Other addiction, short therapy","Other addiction, short therapy",19.0,fin
P16,Organic brain disorders,Organic brain disorders,19.0,fin
P16O,"Organic brain disorders, short therapy","Organic brain disorders, short therapy",19.0,fin
P17A,"Neurocognitive disorders, age  >=25","Neurocognitive disorders, age  >=25",19.0,fin
P17B,"Neurocognitive disorders, age <25 ","Neurocognitive disorders, age <25 ",19.0,fin
P17O,"Neurocognitive disorders, short therapy","Neurocognitive disorders, short therapy",19.0,fin
P18,Opiod addiction,Opiod addiction,19.0,fin
P18O,"Opiod addiction, short therapy","Opiod addiction, short therapy",19.0,fin
P19,Neurotic disorders,Neurotic disorders,19.0,fin
P19O,"Neurotic disorders, short therapy","Neurotic disorders, short therapy",19.0,fin
P19R,"Doctor visits for threatened abortion or premature delivery, primary care","Doctor visits for threatened abortion or premature delivery, primary care",14.0,swe
P20A,"Psychosis, age >=18","Psychosis, age >=18",19.0,fin
P20B,"Psychosis, age 0-17","Psychosis, age 0-17",19.0,fin
P20O,"Psychosis, short therapy","Psychosis, short therapy",19.0,fin
P21,Abuse psychosis,Abuse psychosis,19.0,fin
P21O,"Abuse psychosis, short therapy","Abuse psychosis, short therapy",19.0,fin
P22O,"Gender-identity related contacts, short therapy","Gender-identity related contacts, short therapy",19.0,fin
P23,Behavioural and emotional disorders,Behavioural and emotional disorders,19.0,fin
P23O,"Behavioural and emotional disorders, short therapy","Behavioural and emotional disorders, short therapy",19.0,fin
P23R,"Pharmacological or spontaneous abortion, primary care","Pharmacological or spontaneous abortion, primary care",14.0,swe
P24O,"Severe organic disturbances, short therapy","Severe organic disturbances, short therapy",19.0,fin
P25O,"Other mental disorder diagnoses, short therapy","Other mental disorder diagnoses, short therapy",19.0,fin
P26O,"Ketamine therapy, short therapy","Ketamine therapy, short therapy",19.0,fin
P27O,"Organic disturbances, short therapy","Organic disturbances, short therapy",19.0,fin
P28O,"Tic disorder, short therapy","Tic disorder, short therapy",19.0,fin
P29O,"Congenital disorder, short therapy","Congenital disorder, short therapy",19.0,fin
P30O,"Sleeping disorders, short therapy","Sleeping disorders, short therapy",19.0,fin
P31O,"Impairment of mental functions, short therapy","Impairment of mental functions, short therapy",19.0,fin
P69L,"Inpatient care for pregnancy, childbirth and puerperium, primary care","Inpatient care for pregnancy, childbirth and puerperium, primary care",14.0,swe
P76R,"Obstetric ultrasonography, primary care","Obstetric ultrasonography, primary care",14.0,swe
P93R,"Home visits during pregnancy, childbirth and puerperium, primary care","Home visits during pregnancy, childbirth and puerperium, primary care",14.0,swe
P97R,"Nurse visits during pregnancy, childbirth and puerperium, primary care    ","Nurse visits during pregnancy, childbirth and puerperium, primary care    ",14.0,swe
P99R,"Other doctor visits during pregnancy, childbirth and puerperium, primary care","Other doctor visits during pregnancy, childbirth and puerperium, primary care",14.0,swe
P99U,"Team visits/conferences during during pregnancy, childbirth and puerperium, primary care","Team visits/conferences during during pregnancy, childbirth and puerperium, primary care",14.0,swe
P99W,"Doctor letters or telephone contacts during pregnancy, childbirth and puerperium, primary care","Doctor letters or telephone contacts during pregnancy, childbirth and puerperium, primary care",14.0,swe
Q69L,"Inpatient care for newborns and some perinatal conditions, primary care","Inpatient care for newborns and some perinatal conditions, primary care",15.0,swe
Q93R,"Home visits for newborns and some perinatal conditions, primary care","Home visits for newborns and some perinatal conditions, primary care",15.0,swe
Q97R,"Nurse visits for diseases in newborns, primary care","Nurse visits for diseases in newborns, primary care",15.0,swe
Q99R,"Other doctor visits for diseases in newborns, primary care","Other doctor visits for diseases in newborns, primary care",15.0,swe
Q99U,"Team visits/conferences for diseases in newborns, primary care","Team visits/conferences for diseases in newborns, primary care",15.0,swe
Q99W,"Doctor letters or telephone contacts for diseases in newborns, primary care","Doctor letters or telephone contacts for diseases in newborns, primary care",15.0,swe
R06L,"Inpatient care for anaemia, primary care","Inpatient care anaemia, primary care",16.0,swe
R06S,"Doctor visits for anemia and other red blood cell disorders, age >17, w CC, primary care","Doctor visits for anemia and other red blood cell disorders, age >17, w CC, primary care",16.0,swe
R06T,"Doctor visits for anemia and other red blood cell disorders, age >17, w/o CC, primary care","Doctor visits for anemia and other red blood cell disorders, age >17, w/o CC, primary care",16.0,swe
R07R,"Doctor visits for anemia and other red blood cell disorders, age 0-17, primary care","Doctor visits for anemia and other red blood cell disorders, age 0-17, primary care",16.0,swe
R08S,"Doctor visits for coagulation disorders, w CC, primary care","Doctor visits for coagulation disorders, w CC, primary care",16.0,swe
R08T,"Doctor visits for coagulation disorders, w/o CC, primary care","Doctor visits for coagulation disorders, w/o CC, primary care",16.0,swe
R29S,"Doctor visits for lymphoma  & non-acute leukemia, w CC, primary care","Doctor visits for lymphoma  & non-acute leukemia, w CC, primary care",17.0,swe
R29T,"Doctor visits for lymphoma  & non-acute leukemia, w/o CC, primary care","Doctor visits for lymphoma  & non-acute leukemia, w/o CC, primary care",17.0,swe
R30S,"Doctor visits for acute leukemia, age >17, w CC, primary care","Doctor visits for acute leukemia, age >17, w CC, primary care",17.0,swe
R30T,"Doctor visits for acute leukemia, age >17, w/o CC, primary care","Doctor visits for acute leukemia, age >17, w/o CC, primary care",17.0,swe
