ord,id,drg_nat,drg_text_nat,drg_comb,rtc,icd,mdc,dgcat,pdgprop,compl,or_proc,procpro,secpro,dgprop1,dgprop2,dgprop3,dgprop4,agelim,sex,dur,disch,nat_ver
70902210000,409D221000,278,"Ihon tai ihonalaisten elinten infektiosairaus, aikuinen, ei komplisoitunut",278X,0,+,9.0,09M07,,,N,,,09X05,,,,>6574,,,,den/est/fin/ice/lat/nor
70902220000,409D222000,278,"Ihon tai ihonalaisten elinten infektiosairaus, aikuinen, ei komplisoitunut",278X,0,+,9.0,09M06,,,N,,,,,,,>6574,,,,den/est/fin/ice/lat/nor
70902300000,409D230000,279,"Ihon tai ihonalaisten elinten infektiosairaus, lapsi",279X,0,+,9.0,09M01,,,N,,,,,,,,,,,den/est/fin/ice/lat/nor
70902310000,409D231000,279,"Ihon tai ihonalaisten elinten infektiosairaus, lapsi",279X,0,+,9.0,09M07,,,N,,,09X05,,,,,,,,den/est/fin/ice/lat/nor
70902320000,409D232000,279,"Ihon tai ihonalaisten elinten infektiosairaus, lapsi",279X,0,+,9.0,09M06,,,N,,,,,,,,,,,den/est/fin/ice/lat/nor
70902610000,409D261000,280,"Ihon tai ihonalaisen kudoksen vamma, aikuinen, komplisoitunut",280X,0,+,9.0,09M07,,1.0,N,,,,,,,>6574,,,,den/est/fin/ice/lat/nor
70902620000,409D262000,281,"Ihon tai ihonalaisen kudoksen vamma, aikuinen, ei komplisoitunut",281X,0,+,9.0,09M07,,,N,,,,,,,>6574,,,,den/est/fin/ice/lat/nor
70902800000,409D280000,282,"Ihon tai ihonalaisen kudoksen vamma, lapsi",282X,0,+,9.0,09M07,,,N,,,,,,,,,,,den/est/fin/ice/lat/nor
70902900000,409D290000,283,"Muu ihon sairaus, komplisoitunut",283X,0,+,9.0,,,1.0,N,,,,,,,,,,,den/est/fin/ice/lat/nor
70903000001,409D3000001,284B,"Muu ihon sairaus, ei komplisoitunut, lapsi, <16",284B,0,+,9.0,,,,N,,,,,,,<5844,,,,fin
70903000900,409D300090,284A,"Muu ihon sairaus, ei komplisoitunut, >=16",284A,0,+,9.0,,,,N,,,,,,,,,,,fin
70904000450,409D500004,505,Vaativa tai komplisoitunut rinnan rekonstruktioleikkaus,505,0,+,30.0,,,,S,30S03,30S11,30X01,30X05,,,,,,,fin/ice/nor/swe
70904500225,409D500006,505,Vaativa tai komplisoitunut rinnan rekonstruktioleikkaus,505,0,+,,,30P01,,S,30S03,30S11,30X05,,,,,,,,fin/ice/nor/swe
70904750112,409D500008,505,Vaativa tai komplisoitunut rinnan rekonstruktioleikkaus,505,0,+,30.0,,,,S,30S11,,30X05,,,,,,,,fin/ice/nor/swe
70905000000,409D500000,502,Rinnan poisto ja muu rekonstruktioleikkaus,502X,0,+,30.0,,,,S,30S03,30S11,30X01,,,,,,,,fin
70905000200,409D500020,502,Rinnan poisto ja muu rekonstruktioleikkaus,502X,0,+,,,30P01,,S,30S03,30S11,,,,,,,,,den/est/fin/lat/nor/swe
70905001100,409D500110,259B,"Rintarauhasen osittainen poisto maligniteetin takia, komplisoitunut",259B,0,+,30.0,,,,S,30S04,30S11,30X01,,,,,,,,fin
70905006150,409D500125,506,Muu rinnan rekonstruktioleikkaus,506,0,+,30.0,,,,S,30S11,,,,,,,,,,fin/ice/nor/swe
70905011100,409D501110,257,"Rintarauhasen poisto maligniteetin takia, komplisoitunut",257X,0,+,30.0,,,1.0,S,30S03,,30X01,,,,,,,,den/est/fin/ice/lat/nor
70905012000,409D501200,258,"Rintarauhasen poisto maligniteetin takia, ei komplisoitunut",258X,0,+,30.0,,,,S,30S03,,30X01,,,,,,,,den/est/fin/ice/lat/nor/swe
70905021101,409D5021101,259A,Rintarauhasen osittainen poisto ja korjaus maligniteetin takia,259A,0,+,30.0,,,1.0,S,30S04,,30X01,,,,,,,,fin
70905021201,409D5021201,259A,Rintarauhasen osittainen poisto ja korjaus maligniteetin takia,259A,0,+,30.0,,,1.0,S,30S05,,30X01,,,,,,,,fin
70905021211,409D5021211,259A,Rintarauhasen osittainen poisto ja korjaus maligniteetin takia,259A,0,+,30.0,,,1.0,,30S05,,30X01,00X10,,,,,,,fin
70905022100,409D502210,260,"Rintarauhasen osittainen poisto maligniteetin takia, ei komplisoitunut",260X,0,+,30.0,,,,S,30S04,,30X01,,,,,,,,den/est/fin/ice/lat/nor/swe
70905022200,409D502220,260,"Rintarauhasen osittainen poisto maligniteetin takia, ei komplisoitunut",260X,0,+,30.0,,,,S,30S05,,30X01,,,,,,,,den/est/fin/ice/lat/nor/swe
70905022210,409D502221,260,"Rintarauhasen osittainen poisto maligniteetin takia, ei komplisoitunut",260X,0,+,30.0,,,,,30S05,,30X01,00X10,,,,,,,den/est/fin/ice/lat/swe
70905023200,409D502320,261,"Rintarauhasleikkaus hyvänlaatuisen sairauden takia, ei biopsia tai ekskisio",261X,0,+,30.0,,,,S,30S03,,-30X01,,,,,,,,den/est/fin/ice/lat/nor/swe
70905023300,409D502330,261,"Rintarauhasleikkaus hyvänlaatuisen sairauden takia, ei biopsia tai ekskisio",261X,0,+,30.0,,,,S,30S04,,-30X01,,,,,,,,den/est/fin/ice/lat/nor/swe
70905023400,409D502340,261,"Rintarauhasleikkaus hyvänlaatuisen sairauden takia, ei biopsia tai ekskisio",261X,0,+,,,30P01,,S,30S03,,,,,,,,,,den/est/fin/ice/lat/nor/swe
70905111100,409D511110,262,Rintarauhasen biopsia tai paikallinen ekskisio,262X,0,+,30.0,,,,S,30S05,,,,,,,,,,den/est/fin/ice/lat/nor/swe
70905111200,409D511120,262,Rintarauhasen biopsia tai paikallinen ekskisio,262X,0,+,30.0,,,,,30S05,,00X10,,,,,,,,fin
70905120100,409D512010,509,Muu rinnan sairauden toimenpide,509X,0,+,30.0,,,,S,30S99,,,,,,,,,,den/est/fin/ice/lat/nor/swe
70905120200,409D512020,509,Muu rinnan sairauden toimenpide,509X,0,+,30.0,,,,,30S99,,00X10,,,,,,,,fin
70905180000,409D518000,274,"Rintasyöpä, komplisoitunut",274X,0,+,30.0,30M04,,1.0,N,,,,,,,,,,,den/est/fin/ice/lat/nor/swe
70905199500,409D519950,275A,"Rintasyöpä, ei komplisoitunut, sädehoito",275FA,0,+,30.0,30M04,,,N,90T06,,,,,,,,,,fin
70905199510,409D519951,275A,"Rintasyöpä, ei komplisoitunut, sädehoito",275FA,0,+,30.0,30M04,,,N,90T07,,,,,,,,,,fin
70905199520,409D519952,275A,"Rintasyöpä, ei komplisoitunut, sädehoito",275FA,0,+,30.0,30M04,,,N,90T08,,,,,,,,,,fin
70905199530,409D519953,275A,"Rintasyöpä, ei komplisoitunut, sädehoito",275FA,0,+,30.0,30M04,,,N,90T05,,,,,,,,,,fin
70905199600,409D519960,275B,"Rintasyöpä, ei komplisoitunut, sytostaattihoito",275FB,0,+,30.0,30M04,,,N,90T01,90S01,,,,,,,,,fin
70905199610,409D519961,275B,"Rintasyöpä, ei komplisoitunut, sytostaattihoito",275FB,0,+,30.0,30M04,,,N,99S80,,,,,,,,,,fin
70905199990,409D519999,275E,"Rintasyöpä, ei komplisoitunut",275FE,0,+,30.0,30M04,,,N,,,,,,,,,,,fin
70905200000,409D520000,276,Hyvänlaatuinen rintarauhasen sairaus,276X,0,+,30.0,,,,N,,,,,,,,,,,den/est/fin/ice/lat/nor/swe
71000110000,410D011000,285,"Raajan amputaatio endokriinisen, nutritionaalisen tai metabolisen sairauden takia",285X,0,+,10.0,,,,S,10S01,,,,,,,,,,den/est/fin/ice/lat/nor
71000219000,410D021900,286,Lisämunuaisen ja aivolisäkkeen leikkaukset,286X,0,+,10.0,,,,S,10S02,,,,,,,,,,fin
71000220001,410D0220001,286,Lisämunuaisen ja aivolisäkkeen leikkaukset,286X,0,+,10.0,,,,,10S02,,00X10,,,,,,,,fin
71000221000,410D022100,286,Lisämunuaisen ja aivolisäkkeen leikkaukset,286X,0,+,10.0,,,,S,10S09,,10X02,,,,,,,,den/est/fin/ice/lat/nor/swe
71000401000,410D040100,288A,Liikalihavuuden hoito mahasuolikanavan leikkauksella,288A,0,+,10.0,,,,S,10S20,,,,,,,,,,fin
71000401200,410D040120,288B,Muu liikalihavuuden hoitoon liittyvä leikkaus,288B,0,+,10.0,,,,S,10S04,,,,,,,,,,den/est/fin/ice/lat/nor/swe
71000401300,410D040130,288B,Muu liikalihavuuden hoitoon liittyvä leikkaus,288B,0,+,10.0,,,,,10S04,,00X10,,,,,,,,fin
71000511000,410D051100,289,Lisäkilpirauhasleikkaus,289X,0,+,10.0,,,,S,10S05,,,,,,,,,,den/est/fin/ice/lat/nor
71000512000,410D051200,289,Lisäkilpirauhasleikkaus,289X,0,+,10.0,,,,,10S05,,00X10,,,,,,,,fin
71000521000,410D052100,289,Lisäkilpirauhasleikkaus,289X,0,+,,,10P01,,S,10S05,,,,,,,,,,den/est/fin/ice/lat/nor
71000522000,410D052200,289,Lisäkilpirauhasleikkaus,289X,0,+,,,10P01,,,10S05,,00X10,,,,,,,,fin
71000610000,410D061000,290,Kilpirauhasleikkaus,290X,0,+,10.0,,,,S,10S06,,,,,,,,,,den/est/fin/ice/lat/nor
71000620000,410D062000,290,Kilpirauhasleikkaus,290X,0,+,10.0,,,,,10S06,,00X10,,,,,,,,fin
71000810975,410D081096,315D,"Munuaisten ja virtsateiden vajaatoiminta, hemodialyysifistelin rakentaminen tai sulkeminen",315D,0,+,,,11P01,,S,11S13,,,,,,,,,,den/est/fin/ice/lat/swe
71000810987,410D081098,315E,"Munuaisten ja virtsateiden vajaatoiminta, peritoneaalikatetrin asentaminen",315E,0,+,,,11P01,,S,11S14,,,,,,,,,,den/est/fin/ice/lat/swe
71000810993,410D081099,315E,"Munuaisten ja virtsateiden vajaatoiminta, peritoneaalikatetrin asentaminen",315E,0,+,,,11P01,,,11S14,,00X10,,,,,,,,den/est/fin/ice/lat/swe
71000811000,410D081100,292,"Muu leikkaus endokriinisen, nutritionaalisen tai metabolisen sairauden vuoksi, komplisoitunut",292X,0,+,10.0,,,1.0,S,10S08,,,,,,,,,,den/est/fin/ice/lat/nor/swe
71000811100,410D081110,292,"Muu leikkaus endokriinisen, nutritionaalisen tai metabolisen sairauden vuoksi, komplisoitunut",292X,0,+,10.0,,,1.0,,10S08,,00X10,,,,,,,,fin
71000821000,410D082100,293,"Muu leikkaus endokriinisen, nutritionaalisen tai metabolisen sairauden vuoksi, ei komplisoitunut",293X,0,+,10.0,,,,S,10S08,,,,,,,,,,den/est/fin/ice/lat/nor/swe
71000821100,410D082110,293,"Muu leikkaus endokriinisen, nutritionaalisen tai metabolisen sairauden vuoksi, ei komplisoitunut",293X,0,+,10.0,,,,,10S08,,00X10,,,,,,,,fin
71000911000,410D091100,339,"Kivesleikkaus, ei pahanlaatuista sairautta, aikuinen",339X,0,+,10.0,,,,S,12S03,,10X01,,,,>6574,,,,den/est/fin/ice/lat/nor
71000912000,410D091200,339,"Kivesleikkaus, ei pahanlaatuista sairautta, aikuinen",339X,0,+,10.0,,,,,12S03,,10X01,00X10,,,>6574,,,,fin
71000921000,410D092100,340,"Kivesleikkaus, lapsi, ei pahanlaatuista sairautta",340X,0,+,10.0,,,,S,12S03,,10X01,,,,,,,,den/est/fin/ice/lat/nor
71000922000,410D092200,340,"Kivesleikkaus, lapsi, ei pahanlaatuista sairautta",340X,0,+,10.0,,,,,12S03,,10X01,00X10,,,,,,,fin
71001101025,410D110101,291M,"Diabetes, > 17 vuotias, erittäin komplisoitunut",291M,0,+,10.0,10M01,,2.0,N,,,,,,,>6574,,,,swe/est/fin/lat
71001101070,410D1101055,291C,"Diabetes, > 17 vuotias, komplisoitunut",291C,0,+,10.0,10M01,,1.0,N,,,,,,,>6574,,,,swe/est/fin/nor/lat/ice
71001101545,410D1101099,291N,"Diabetes, > 17 vuotias, ei komplisoitunut",291N,0,+,10.0,10M01,,,N,,,,,,,>6574,,,,swe/est/fin/nor/lat/ice
71001156000,410D110205,291,"Diabetes, lapsi",291,0,+,10.0,10M01,,,N,,,,,,,,,,,est/fin/ice/lat/nor/swe
71001215000,410D121001,296M,"Ravitsemuksellinen tai muu metabolinen häiriö, aikuinen, erittäin komplisoitunut",296M,0,+,10.0,10M02,,2.0,N,,,,,,,>6574,,,,est/fin
71001217500,410D121002,296C,"Ravitsemuksellinen tai muu metabolinen häiriö, aikuinen, komplisoitunut",296C,0,+,10.0,10M02,,1.0,N,,,,,,,>6574,,,,est/fin
71001220000,410D122000,297,"Ravitsemuksellinen tai muu metabolinen häiriö, aikuinen, ei komplisoitunut",297X,0,+,10.0,10M02,,,N,,,,,,,>6574,,,,den/est/fin/ice/lat/nor
71001230000,410D123000,298,"Ravitsemuksellinen tai muu metabolinen häiriö, lapsi",298X,0,+,10.0,10M02,,,N,,,,,,,,,,,den/est/fin/ice/lat/nor
71001500000,410D150000,299,Metabolinen sairaus,299X,0,+,10.0,10M03,,,N,,,,,,,,,,,den/est/ice/lat/nor/swe/fin
71001600000,410D160000,300,"Muu endokriininen sairaus, komplisoitunut",300X,0,+,10.0,,,1.0,N,,,,,,,,,,,den/est/fin/ice/lat/nor
71001619400,410D161940,301A,"Endokriininen syöpäsairaus, radiojodihoito tai ulkoinen sädehoito",301A,0,+,10.0,,,,N,90T06,,90X01,,,,,,,,fin
71001619410,410D161941,301A,"Endokriininen syöpäsairaus, radiojodihoito tai ulkoinen sädehoito",301A,0,+,10.0,,,,N,90T07,,90X01,,,,,,,,fin
71001619500,410D161950,301B,"Endokriininen syöpäsairaus, vaativa isotooppihoito",301B,0,+,10.0,,,,N,90T08,,90X01,,,,,,,,fin
71001619510,410D161951,301B,"Endokriininen syöpäsairaus, vaativa isotooppihoito",301B,0,+,10.0,,,,N,90T05,,90X01,,,,,,,,fin
71001619600,410D161960,301C,"Endokriininen syöpäsairaus, sytostaattihoito",301C,0,+,10.0,,,,N,90T01,90S01,90X01,,,,,,,,fin
71001619810,410D161981,301C,"Endokriininen syöpäsairaus, sytostaattihoito",301C,0,+,10.0,,,,N,99S80,,90X01,,,,,,,,fin
71001619990,410D161999,301F,"Muu endokriininen sairaus, ei komplisoitunut",301F,0,+,10.0,,,,N,,,,,,,,,,,fin
71100210000,411D021000,303,"Munuaisen, virtsajohtimen tai vaativa virtsarakon leikkaus kasvaimen takia",303X,0,+,11.0,11M03,,,S,11S02,,,,,,,,,,den/est/fin/ice/lat/nor
71100300000,411D030000,304,"Munuaisen, virtsajohtimen tai vaativa virtsarakon leikkaus, ei kasvain, komplisoitunut",304X,0,+,11.0,,,1.0,S,11S02,,,,,,,,,,fin
71100320000,411D032000,305,"Munuaisen, virtsajohtimen tai vaativa virtsarakon leikkaus, ei komplisoitunut",305X,0,+,11.0,,,,S,11S02,,,,,,,,,,den/est/fin/ice/lat/nor/swe
71100321000,411D032100,307N,Virtsaputken tekosulkijan toimenpiteet,307N,0,+,11.0,,,,S,11S11,,,,,,,,,,den/est/fin/ice/nor/swe
71100330000,411D033000,148,"Laaja ohuen tai paksunsuolen leikkaus, komplisoitunut",148X,0,+,11.0,,,1.0,S,06S02,,,,,,,,,,den/est/fin/ice/lat/nor
71100340000,411D034000,149,"Laaja ohuen tai paksunsuolen leikkaus, ei komplisoitunut",149X,0,+,11.0,,,,S,06S02,,,,,,,,,,den/est/fin/ice/lat/nor/swe
71100500000,411D050000,308,"Muu virtsarakon toimenpide, komplisoitunut",308X,0,+,11.0,,,1.0,S,11S03,,,,,,,,,,fin
71100510001,411D0510001,308,"Muu virtsarakon toimenpide, komplisoitunut",308X,0,+,11.0,,,1.0,,11S03,,00X10,,,,,,,,fin
71100520000,411D052000,309,"Muu virtsarakon toimenpide, ei komplisoitunut",309X,0,+,11.0,,,,S,11S03,,,,,,,,,,den/est/fin/ice/lat/nor/swe
71100530000,411D053000,309,"Muu virtsarakon toimenpide, ei komplisoitunut",309X,0,+,11.0,,,,,11S03,,00X10,,,,,,,,fin
71100900000,411D090000,310,"Transuretraalinen toimenpide, ei prostatektomia, komplisoitunut",310X,0,+,11.0,,,1.0,S,11S05,,,,,,,,,,fin
71100910001,411D0910001,310,"Transuretraalinen toimenpide, ei prostatektomia, komplisoitunut",310X,0,+,11.0,,,1.0,,11S05,,00X10,,,,,,,,fin
71100920000,411D092000,311,"Transuretraalinen toimenpide, ei prostatektomia, ei komplisoitunut",311X,0,+,11.0,,,,S,11S05,,,,,,,,,,den/est/fin/ice/lat/nor/swe
71100930000,411D093000,311,"Transuretraalinen toimenpide, ei prostatektomia, ei komplisoitunut",311X,0,+,11.0,,,,,11S05,,00X10,,,,,,,,fin
71101110000,411D111000,312,"Virtsaputken leikkaus, aikuinen, komplisoitunut",312X,0,+,11.0,,,1.0,S,11S06,,,,,,>6574,,,,fin
71101111010,411D111101,312,"Virtsaputken leikkaus, aikuinen, komplisoitunut",312X,0,+,11.0,,,1.0,,11S06,,00X10,,,,>6574,,,,fin
71101112000,411D111200,313,"Virtsaputken leikkaus, aikuinen, ei komplisoitunut",313X,0,+,11.0,,,,S,11S06,,,,,,>6574,,,,den/est/fin/ice/lat/nor
71101113000,411D111300,313,"Virtsaputken leikkaus, aikuinen, ei komplisoitunut",313X,0,+,11.0,,,,,11S06,,00X10,,,,>6574,,,,fin
71101131000,411D113100,314,"Virtsaputken leikkaus, lapsi",314X,0,+,11.0,,,,S,11S06,,,,,,,,,,den/est/fin/ice/lat/nor
71101132000,411D113200,314,"Virtsaputken leikkaus, lapsi",314X,0,+,11.0,,,,,11S06,,00X10,,,,,,,,fin
71101410000,411D141000,315B,Muu munuaisten tai virtsateiden toimenpide,315B,0,+,11.0,,,,S,11S15,,,,,,,,,,den/est/fin/ice/lat
71101410005,411D140002,315D,"Munuaisten ja virtsateiden vajaatoiminta, hemodialyysifistelin rakentaminen tai sulkeminen",315D,0,+,11.0,,,,S,11S13,,,,,,,,,,den/est/fin/ice/lat/swe
71101410007,411D140003,315E,"Munuaisten ja virtsateiden vajaatoiminta, peritoneaalikatetrin asentaminen",315E,0,+,11.0,,,,S,11S14,,,,,,,,,,den/est/fin/ice/lat/swe
71101410008,411D140004,315E,"Munuaisten ja virtsateiden vajaatoiminta, peritoneaalikatetrin asentaminen",315E,0,+,11.0,,,,,11S14,,00X10,,,,,,,,den/est/fin/ice/lat/swe
71101410100,411D141010,315B,Muu munuaisten tai virtsateiden toimenpide,315B,0,+,11.0,,,,,11S15,,00X10,,,,,,,,den/est/fin/ice/lat
71101411000,411D141100,315B,Muu munuaisten tai virtsateiden toimenpide,315B,0,+,11.0,,,,S,11S90,,11X01,,,,,,,,den/est/fin/ice/lat
71101411100,411D141110,315B,Muu munuaisten tai virtsateiden toimenpide,315B,0,+,11.0,,,,,11S90,,11X01,00X10,,,,,,,den/est/fin/ice/lat
71101412000,411D141200,315B,Muu munuaisten tai virtsateiden toimenpide,315B,0,+,,,11P01,,S,11S15,,,,,,,,,,den/est/fin/ice/lat
71101500000,411D150000,315A,"Munuaisten ja virtsateiden vajaatoiminta, hemodialyysikatetrin asentaminen",315A,0,+,11.0,,,,S,11S12,,,,,,,,,,den/est/fin/ice/lat
71101500100,411D150010,315A,"Munuaisten ja virtsateiden vajaatoiminta, hemodialyysikatetrin asentaminen",315A,0,+,11.0,,,,,11S12,,00X10,,,,,,,,den/est/fin/ice/lat
71101696000,411D169600,334,"Vaativa lantionalueen leikkaus liittyen esim. eturauhasen, kiveksen, peniksen jne. sairauksiin, komplisoitunut",334X,0,+,11.0,,,1.0,S,12S01,,,,,,,,,,fin
71101696200,411D169620,335,"Vaativa lantionalueen leikkaus liittyen esim. eturauhasen, kiveksen, peniksen jne. sairauksiin, ei komplisoitunut",335X,0,+,11.0,,,,S,12S01,,,,,,,,,,den/est/fin/ice/lat/nor
71101697000,411D169700,336,"Transuretraalinen prostatektomia, komplisoitunut",336X,0,+,11.0,,,1.0,S,12S04,,,,,,,,,,fin
71101697101,411D1697101,336,"Transuretraalinen prostatektomia, komplisoitunut",336X,0,+,11.0,,,1.0,,12S04,,00X10,,,,,,,,fin
71101697200,411D169720,337,"Transuretraalinen prostatektomia, ei komplisoitunut",337X,0,+,11.0,,,,S,12S04,,,,,,,,,,den/est/fin/ice/lat/nor
71101697300,411D169730,337,"Transuretraalinen prostatektomia, ei komplisoitunut",337X,0,+,11.0,,,,,12S04,,00X10,,,,,,,,fin
71101701000,411D170100,318,"Munuaisten tai virtsateiden kasvain, komplisoitunut",318X,0,+,11.0,11M03,,1.0,N,,,,,,,,,,,den/est/fin/ice/lat/nor
71101899500,411D189950,319A,"Munuaisten tai virtsateiden kasvain, ei komplisoitunut, sädehoito",319A,0,+,11.0,11M03,,,N,90T06,90S01,,,,,,,,,fin
71101899510,411D189951,319A,"Munuaisten tai virtsateiden kasvain, ei komplisoitunut, sädehoito",319A,0,+,11.0,11M03,,,N,90T07,,,,,,,,,,fin
71101899520,411D189952,319A,"Munuaisten tai virtsateiden kasvain, ei komplisoitunut, sädehoito",319A,0,+,11.0,11M03,,,N,90T08,,,,,,,,,,fin
71101899530,411D189953,319A,"Munuaisten tai virtsateiden kasvain, ei komplisoitunut, sädehoito",319A,0,+,11.0,11M03,,,N,90T05,,,,,,,,,,fin
71101899600,411D189960,319B,"Munuaisten tai virtsateiden kasvain, ei komplisoitunut, sytostaattihoito",319B,0,+,11.0,11M03,,,N,90T01,90S01,,,,,,,,,fin
71101899610,411D189961,319B,"Munuaisten tai virtsateiden kasvain, ei komplisoitunut, sytostaattihoito",319B,0,+,11.0,11M03,,,N,99S80,,,,,,,,,,fin
71101899990,411D189999,319E,"Munuaisten tai virtsateiden kasvain, ei komplisoitunut",319E,0,+,11.0,11M03,,,N,,,,,,,,,,,fin
71101910000,411D191000,320,"Munuaisten ja/tai virtsateiden infektio, aikuinen, komplisoitunut",320X,0,+,11.0,11M04,,1.0,N,,,,,,,>6574,,,,den/est/fin/ice/lat/nor
71101920000,411D192000,321,"Munuaisten ja/tai virtsateiden infektio, aikuinen, ei komplisoitunut",321X,0,+,11.0,11M04,,,N,,,,,,,>6574,,,,den/est/fin/ice/lat/nor
71101930000,411D193000,322,"Munuaisten ja/tai virtsateiden infektio, lapsi",322X,0,+,11.0,11M04,,,N,,,,,,,,,,,den/est/fin/ice/lat/nor
71102210000,411D221000,323,"Virtsatiekivi, komplisoitunut tai virtsatiekiven kehonulkoinen murskaus",323X,0,+,11.0,11M05,,1.0,N,,,,,,,,,,,den/est/fin/ice/lat/nor/swe
71102211000,411D221100,323,"Virtsatiekivi, komplisoitunut tai virtsatiekiven kehonulkoinen murskaus",323X,0,+,11.0,,,,,11S08,,,,,,,,,,den/est/fin/ice/lat/nor/swe
71102320000,411D232000,324,"Virtsatiekivi, ei komplisoitunut",324X,0,+,11.0,11M05,,,N,,,,,,,,,,,den/est/fin/ice/lat/nor/swe
71102410000,411D241000,325,"Munuais- ja virtsatiesairauden oire, aikuinen, komplisoitunut",325X,0,+,11.0,11M06,,1.0,N,,,,,,,>6574,,,,den/est/fin/ice/lat/nor
71102420000,411D242000,326,"Munuais- ja virtsatiesairauden oire, aikuinen, ei komplisoitunut",326X,0,+,11.0,11M06,,,N,,,,,,,>6574,,,,den/est/fin/ice/lat/nor
71102430000,411D243000,327,"Munuais- ja virtsatiesairauden oire, lapsi",327X,0,+,11.0,11M06,,,N,,,,,,,,,,,den/est/fin/ice/lat/nor
71102730000,411D273000,329N,Virtsaputken ahtauma,329N,0,+,11.0,11M07,,,N,,,,,,,,,,,den/est/fin/ice/lat/nor
71102910000,411D291000,317,Dialyysihoito,317X,0,+,11.0,11M02,,,,,,,,,,,,,,den/est/fin/ice/lat/nor/swe
71102920100,411D170001,316A,"Munuaisten toiminnanvajaus, komplisoitunut, dialyysihoito",316A,0,+,11.0,,,1.0,N,11S09,,,,,,,,,,fin
71102920125,411D2920019,316B,"Munuaisten toiminnanvajaus, ei dialyysi/kompl, dialyysi/ei kompl, ei dialyysi/ei kompl",316B,0,+,11.0,11M01,,,,,,,,,,,,,,fin
71102920150,411D170003,316B,"Munuaisten toiminnanvajaus, ei dialyysi/kompl, dialyysi/ei kompl, ei dialyysi/ei kompl",316B,0,+,11.0,,,,N,11S09,,,,,,,,,,fin
71103200000,411D320000,331,"Muu munuaisten tai virtsateiden sairaus, aikuinen, komplisoitunut",331X,0,+,11.0,,,1.0,N,,,,,,,>6574,,,,den/est/fin/ice/lat/nor
71103300000,411D330000,332,"Muu munuaisten tai virtsateiden sairaus, aikuinen, ei komplisoitunut",332X,0,+,11.0,,,,N,,,,,,,>6574,,,,den/est/fin/ice/lat/nor/swe
71103400000,411D340000,333,"Muu munuaisten tai virtsateiden sairaus, lapsi",333X,0,+,11.0,,,,N,,,,,,,,,,,den/est/fin/ice/lat/nor/swe
71200100000,412D010000,334,"Vaativa lantionalueen leikkaus liittyen esim. eturauhasen, kiveksen, peniksen jne. sairauksiin, komplisoitunut",334X,0,+,12.0,,,1.0,S,12S01,,,,,,,,,,fin
71200120000,412D012000,335,"Vaativa lantionalueen leikkaus liittyen esim. eturauhasen, kiveksen, peniksen jne. sairauksiin, ei komplisoitunut",335X,0,+,12.0,,,,S,12S01,,,,,,,,,,den/est/fin/ice/lat/nor
71200310000,412D031000,341,Peniksen muu kuin ympärileikkaus,341X,0,+,12.0,,,,S,12S02,,,,,,,,,,den/est/fin/ice/lat/nor/swe
71200320000,412D032000,341,Peniksen muu kuin ympärileikkaus,341X,0,+,12.0,,,,,12S02,,00X10,,,,,,,,fin
71200410000,412D041000,338,"Kivesleikkaus, pahanlaatuisen sairauden vuoksi",338X,0,+,12.0,12M01,,,S,12S03,,,,,,,,,,den/est/fin/ice/lat/nor
71200420000,412D042000,338,"Kivesleikkaus, pahanlaatuisen sairauden vuoksi",338X,0,+,12.0,12M01,,,,12S03,,00X10,,,,,,,,fin
71200621000,412D062100,339,"Kivesleikkaus, ei pahanlaatuista sairautta, aikuinen",339X,0,+,12.0,,,,S,12S03,,,,,,>6574,,,,den/est/fin/ice/lat/nor
71200622000,412D062200,339,"Kivesleikkaus, ei pahanlaatuista sairautta, aikuinen",339X,0,+,12.0,,,,,12S03,,00X10,,,,>6574,,,,fin
71200641000,412D064100,340,"Kivesleikkaus, lapsi, ei pahanlaatuista sairautta",340X,0,+,12.0,,,,S,12S03,,,,,,,,,,den/est/fin/ice/lat/nor
71200642000,412D064200,340,"Kivesleikkaus, lapsi, ei pahanlaatuista sairautta",340X,0,+,12.0,,,,,12S03,,00X10,,,,,,,,fin
71200800000,412D080000,336,"Transuretraalinen prostatektomia, komplisoitunut",336X,0,+,12.0,,,1.0,S,12S04,,,,,,,,,,fin
71200801001,412D0801001,336,"Transuretraalinen prostatektomia, komplisoitunut",336X,0,+,12.0,,,1.0,,12S04,,00X10,,,,,,,,fin
71200802000,412D080200,337,"Transuretraalinen prostatektomia, ei komplisoitunut",337X,0,+,12.0,,,,S,12S04,,,,,,,,,,den/est/fin/ice/lat/nor
71200803000,412D080300,337,"Transuretraalinen prostatektomia, ei komplisoitunut",337X,0,+,12.0,,,,,12S04,,00X10,,,,,,,,fin
71200921001,412D0921001,342N,Ympärileikkaus,342N,0,+,12.0,,,,S,12S05,,,,,,,,,,est/fin/ice/lat/nor
71201109000,412D110900,344,"Muu eturauhasen, kiveksen, peniksen jne. leikkaus pahanlaatuisen sairauden vuoksi",344X,0,+,12.0,12M01,,,S,12S08,,,,,,,,,,fin
71201110001,412D1110001,344,"Muu eturauhasen, kiveksen, peniksen jne. leikkaus pahanlaatuisen sairauden vuoksi",344X,0,+,12.0,12M01,,,,12S08,,00X10,,,,,,,,fin
71201111000,412D111100,344,"Muu eturauhasen, kiveksen, peniksen jne. leikkaus pahanlaatuisen sairauden vuoksi",344X,0,+,12.0,12M01,,,S,12S07,,,,,,,,,,den/est/fin/ice/lat/nor
